Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
161,Budget Lot,461.65,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,Budget Rental Cars - Lot,,,,
162,WRAL SKY5,450.4125,split,455.4125,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,SKY5 Helicopter,,,,
163,WRAL 450.5125,450.5125,,0.6,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,WRAL TV 5,,,,
164,WRAL 450.3875,450.3875,split,455.3875,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,SKY5 Helicopter,,,,
165,WRAL,463.4125,split,468.4125,DTCS,88.5,88.5,662,NN,662,Tone->Tone,NFM,5,,50W,Technical Control,,,,
166,WTVD Chop 11-1,450.1125,split,455.1125,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,WTVD Chopper 11-1,,,,
167,WTVD 11-1,450.8375,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,WTVD TV 11-1,,,,
168,WTVD 11-2,450.8625,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,WTVD TV 11-2,,,,
169,WTVD Chop11-2,450.2125,split,455.2125,,88.5,88.5,23,NN,23,Tone->Tone,DMR,5,,50W,WTVD Chopper 11-2,,,,
170,Target 1,467.75,,0.6,DTCS,88.5,88.5,115,NN,115,Tone->Tone,NFM,5,,50W,Target 1 Store Operations,,,,
171,Target 3,467.925,,0.6,DTCS,88.5,88.5,155,NN,155,Tone->Tone,NFM,5,,50W,Target 3 Backroom,,,,
172,Chick Filet,467.85,,0.6,TSQL,67,67,23,NN,23,Tone->Tone,NFM,5,,50W,Chick Filet,,,,
173,BASS CH1,451.6875,,0.6,DTCS,88.5,88.5,31,NN,31,Tone->Tone,FM,5,,50W,Bass Pro Shop Cary Ch 1,,,,
174,BASS CH2,456.6875,,0.6,DTCS,88.5,88.5,47,NN,47,Tone->Tone,FM,5,,50W,Bass Pro Shop Cary Ch 2,,,,
175,BASS CH5,452.6375,,0.6,DTCS,88.5,88.5,115,NN,115,Tone->Tone,FM,5,,50W,Bass Pro Shop Cary Ch 5,,,,
185,Agri Supply,467.7625,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,50W,Agri Supply (Garner),,,,
