Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
82,RDUUNICOM,122.95,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,UNICOM,,,,
83,RDUGrd5L/23R,121.7,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Ground West Runways 05L/23R,,,,
84,RDUGrd5R/23L,121.9,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Ground East Runways 05R/23L,,,,
85,RDUTwr5L23R,119.3,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Tower West Runways 05L/23R,,,,
86,RDUTwr5R23L,127.45,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Tower East Runways 05R/23L,,,,
87,RDUApprch,124.95,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Approach,,,,
88,RDUApprch,128.3,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Approach,,,,
89,RDUDeparture,125.3,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Departure,,,,
90,RDUDeparture,132.35,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Departure,,,,
91,RDUClearance,120.1,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Clearance Delivery,,,,
92,RDUEmergency,121.5,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Emergency,,,,
93,RDUFinal,124.8,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Final Control,,,,
94,RDU GRD14/32,348.6,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Ground Runways 14/32,,,,
95,RDU TWR14/32,257.8,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Tower Runways 14/32,,,,
96,RDU APPRCH,307.9,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Approach,,,,
97,RDU APPRCH,392.1,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Approach,,,,
98,RDU DEPART,256.9,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Departure,,,,
99,RDU DEPART,380.05,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Raleigh Departure,,,,
100,RDU FINAL,395,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,Final Control,,,,
101,RDUGRD5L23R,121.7,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Ground West Rwy 05L/23R,,,,
102,RDUGRD5R23L,121.9,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Ground East Rwy 05R/23L & 14/32,,,,
103,RDUGRDMIL,348.6,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Ground Military,,,,
104,RDUTWR5L23R,119.3,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Tower West Rwy 05L/23R,,,,
105,RDUTWR5R23L,127.45,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Tower East Rwy 05R/23L & 14/32,,,,
106,RDUTWRMIL,257.8,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Tower Military,,,,
107,RDUAPPRCH,124.95,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Approach (025-229),,,,
108,RDUAPPRCH,127.675,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Approach (230-024),,,,
109,RDUAPPRCH,307.9,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Approach (230-024),,,,
110,RDUAPPRCH,392.1,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Approach (025-229),,,,
111,RDU DEPART,125.3,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Departure (025-229),,,,
112,RDU DEPART,132.35,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Departure (230-024),,,,
113,RDU DEPART,256.9,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Departure (230-024),,,,
114,RDU DEPART,380.05,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Departure (025-229),,,,
115,RDU CLASS C,125.3,,0.6,,88.5,88.5,23,NN,23,Tone->Tone,AM,5,,50W,RDU Class C (025-229),,,,
